City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
338,Wanning,CN,76.84,overcast clouds,18.8003,110.3967,Paradise Hotel
339,Touros,BR,79.92,clear sky,-5.1989,-35.4608,INN NEW HORIZON
341,Altamira,BR,89.69,scattered clouds,-3.2033,-52.2064,Requinte Hotel
342,Grand Gaube,MU,69.39,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
344,Majene,ID,76.75,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
346,Satwas,IN,60.1,clear sky,22.5333,76.6833,मां नर्मदा स्टाम्प रजिस्ट्री कार्यालय
347,Sahuaripa,MX,77.7,scattered clouds,29.05,-109.2333,Estatua de Sahuaripa
350,Bintulu,MY,75.61,few clouds,3.1667,113.0333,900 Boutique INN
351,Las Palmas,ES,70.59,few clouds,28.4204,-14.0131,Casillas De Morales 59.
353,Victoria,HK,77.38,overcast clouds,22.2855,114.1577,Mini Central
354,Mino,JP,51.03,clear sky,34.8269,135.4706,Ooedo Onsen Monogatari Minoh Kankō Hotel
355,Myitkyina,MM,55.58,clear sky,25.3833,97.4,Shwe Phyu Hotel
357,Ancud,CL,55.44,overcast clouds,-41.8697,-73.8203,Hotel Arena Gruesa
359,Tanta,EG,61.95,clear sky,30.7885,31.0019,Hesham & Fouad Pharma Group Pharmacies
362,Crixas,BR,73.56,overcast clouds,-14.5489,-49.9692,RISO HOTEL
363,Waipawa,NZ,58.55,broken clouds,-41.4122,175.5153,Tora Coastal Walk
365,Gat,IL,65.39,clear sky,31.61,34.7642,OlusHome
367,Kardamaina,GR,67.48,few clouds,36.7814,27.1425,HOTEL
369,Ngunguru,NZ,65.14,few clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
370,Sigli,ID,78.58,light rain,5.3848,95.9609,Losmen Dua Mali
371,Hurghada,EG,69.84,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
372,Senador Jose Porfirio,BR,89.02,broken clouds,-2.5908,-51.9542,Hotel Praia
374,Itaituba,BR,82.56,scattered clouds,-4.2761,-55.9836,Hotel Campos
375,Ancona,IT,56.66,mist,43.55,13.1667,Casa Vandina - B&B
378,Djibo,BF,81.16,few clouds,14.1022,-1.6306,Centre Des Ressources DPENA
379,Kuito,AO,61.7,overcast clouds,-12.3833,16.9333,Herdeiros de Antunes Capusso
380,Fukue,JP,63.57,overcast clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
381,San Jeronimo,PE,65.23,overcast clouds,-11.9472,-75.2829,Tuki Llajta Pueblo Bonito Eco Lodge
383,Padang,ID,75.79,overcast clouds,-0.9492,100.3543,Mercure Padang
384,Cockburn Town,TC,82.36,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
385,Along,IN,53.71,clear sky,28.1667,94.7667,Hotel West
387,Ambon,ID,77.14,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
389,Cacapava Do Sul,BR,83.95,clear sky,-30.5122,-53.4914,Hotel Portal
390,Namatanai,PG,79.09,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
391,Coquimbo,CL,64.13,broken clouds,-29.9533,-71.3436,Hotel San Juan
394,Necochea,AR,64.98,light rain,-38.5473,-58.7368,dyd -mar Hotel
396,Atar,MR,76.86,clear sky,20.5169,-13.0499,Oumou Elghoura
397,Solano,US,68.65,clear sky,38.2333,-121.9511,Westwind Inn
398,Faya,SA,60.91,few clouds,18.3851,42.4509,شيلة نسايم
400,Jiwani,PK,78.55,broken clouds,25.05,61.7417,Hooth Market
402,Ixtapa,MX,78.03,scattered clouds,20.7,-105.2,hotel la terminal
403,Gambela,ET,75.25,clear sky,8.25,34.5833,Solomon Debebe Hotel
405,Silver City,US,52.92,clear sky,32.7701,-108.2803,Copper Manor Motel
408,Burnie,AU,51.94,overcast clouds,-41.0667,145.9167,Beachfront Voyager Motor Inn
412,Viedma,AR,79.38,overcast clouds,-40.8135,-62.9967,Hotel Cristal
413,Marrakesh,MA,62.67,broken clouds,31.6315,-8.0083,Les Jardins de La Koutoubia
414,Bagotville,AU,62.08,clear sky,-28.9833,153.4167,Broadwater Sunrise Caravan Park
415,Tutoia,BR,81.16,broken clouds,-2.7619,-42.2744,Pousada Guará's
419,Voh,NC,74.25,overcast clouds,-20.9667,164.7,Le gîte du Koniambo
420,Jalu,LY,69.96,clear sky,29.0331,21.5482,صاحبة الفخامة
