City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
261,Garissa,KE,-0.4536,39.6401,75.97,81,9,11.52,light rain
262,Labuhan,ID,-6.8844,112.2051,77.4,87,100,4.09,overcast clouds
263,Lorengau,PG,-2.0226,147.2712,81.75,74,100,5.26,overcast clouds
264,Flin Flon,CA,54.7682,-101.865,15.64,67,75,20.71,light snow
265,Loding,NO,67.3,14.75,45.32,44,0,24.16,clear sky
266,Huarmey,PE,-10.0681,-78.1522,68.94,75,95,8.95,overcast clouds
267,Ayr,GB,55.4627,-4.6339,47.5,87,100,11.86,overcast clouds
268,Haverhill,US,42.7762,-71.0773,45.34,48,20,11.5,few clouds
269,Rancho Palos Verdes,US,33.7445,-118.387,71.47,67,0,5.01,clear sky
270,Codrington,AU,-38.2667,141.9667,60.8,60,100,11.12,overcast clouds
271,Kavieng,PG,-2.5744,150.7967,80.8,72,100,7.65,overcast clouds
272,Aksarka,RU,66.5606,67.7975,3.99,66,0,21.59,clear sky
273,Chaykovskiy,RU,56.7686,54.1148,19.49,89,78,6.35,broken clouds
274,Tecoanapa,MX,16.5167,-98.75,83.53,68,13,8.25,few clouds
275,Poitiers,FR,46.5833,0.3333,43.25,59,0,3.44,clear sky
276,Marathon,US,44.9,-89.7668,22.44,70,100,12.66,overcast clouds
277,Kavaratti,IN,10.5669,72.642,81.75,60,97,7.9,overcast clouds
278,Leningradskiy,RU,69.3833,178.4167,-5.6,97,100,3.47,overcast clouds
279,Okha,RU,53.5739,142.9478,21.34,91,99,5.82,overcast clouds
280,San Rafael,AR,-34.6177,-68.3301,84.24,33,2,14.97,clear sky
281,Alta Floresta,BR,-9.8756,-56.0861,82.22,78,40,3.44,moderate rain
282,Ribeira Grande,PT,38.5167,-28.7,64.8,63,75,11.01,broken clouds
283,Zhangye,CN,38.9342,100.4517,31.6,33,8,2.77,clear sky
284,Tiksi,RU,71.6872,128.8694,-14.37,95,100,4.97,overcast clouds
285,Conakry,GN,9.538,-13.6773,81.45,64,100,6.04,overcast clouds
286,San Andres,CO,12.5847,-81.7006,82.42,78,75,8.05,broken clouds
287,Wageningen,NL,51.9667,5.6667,48.85,93,100,10.36,mist
288,Grindavik,IS,63.8424,-22.4338,40.95,87,20,16.11,few clouds
289,Trairi,BR,-3.2778,-39.2689,81.37,67,23,12.62,few clouds
290,Svetlaya,RU,46.5389,138.3297,29.39,78,5,6.8,clear sky
291,Gornopravdinsk,RU,60.05,69.9,5.72,94,100,9.01,light snow
292,Norman,US,35.2226,-97.4395,33.24,43,75,13.8,broken clouds
293,Havelock,US,34.8791,-76.9013,53.94,41,0,5.75,clear sky
294,Nyurba,RU,63.2842,118.3319,-18.02,95,83,6.49,broken clouds
295,Martapura,ID,-3.4167,114.85,73.49,100,100,4.61,overcast clouds
296,Ayan,RU,56.45,138.1667,19.49,70,8,4.0,clear sky
297,Nouadhibou,MR,20.931,-17.0347,71.58,64,0,14.97,clear sky
298,Tigil,RU,57.8,158.6667,16.63,90,97,12.55,overcast clouds
299,Vikulovo,RU,56.8167,70.6107,-2.49,98,36,7.72,scattered clouds
300,Pangnirtung,CA,66.1451,-65.7125,-0.58,76,75,6.82,broken clouds
301,College,US,64.8569,-147.8028,9.59,82,20,0.0,few clouds
302,Tubuala,PA,9.5167,-79.0333,76.37,90,100,8.16,moderate rain
303,Eureka,US,40.8021,-124.1637,53.26,92,0,3.0,clear sky
304,Yeppoon,AU,-23.1333,150.7333,67.78,78,47,9.26,scattered clouds
305,Jiaohe,CN,43.7286,127.3447,29.19,89,100,3.13,overcast clouds
306,Avera,US,33.194,-82.5271,56.55,32,0,2.75,clear sky
307,Vardo,NO,70.3705,31.1107,31.98,93,20,27.63,few clouds
308,Jackson,US,42.4165,-122.8345,55.38,49,0,3.44,clear sky
309,Annau,TM,37.8876,58.516,51.3,82,20,4.61,few clouds
310,Torbay,CA,47.6666,-52.7314,37.76,91,75,21.85,light rain
